subs,deg,divs,steps,pri,cond,iter,errBmax,errAmax,errEmax,errBa,errEa
2,1,6,2048,25,7.8875e+01,19.105032,9.9354e-02,8.2586e-02,1.0221e-01,1.1873e-01,2.7792e-02
2,1,6,4096,25,9.3111e+01,20.917705,9.9354e-02,8.2586e-02,1.1069e-01,1.1872e-01,2.7808e-02
2,1,6,8192,25,1.0333e+02,21.918203,9.9354e-02,8.2586e-02,1.1666e-01,1.1872e-01,2.7816e-02
2,1,8,2,49,1.2196e+00,5.000000,7.4420e-02,6.1877e-02,1.5692e-01,1.1137e-01,1.5692e-01
2,1,8,4,49,1.6152e+00,7.000000,7.4420e-02,6.1877e-02,7.9940e-02,9.5625e-02,6.3403e-02
2,1,8,8,49,2.2891e+00,8.000000,7.4420e-02,6.1877e-02,4.5489e-02,9.1649e-02,3.3276e-02
2,1,8,16,49,3.5101e+00,9.000000,7.4420e-02,6.1877e-02,3.5363e-02,9.0179e-02,2.3725e-02
2,1,8,32,49,6.1128e+00,12.000000,7.4420e-02,6.1877e-02,3.4033e-02,8.9541e-02,2.1203e-02
2,1,8,64,49,1.1001e+01,14.000000,7.4420e-02,6.1877e-02,3.5781e-02,8.9244e-02,2.0666e-02
2,1,8,128,49,1.9950e+01,17.000000,7.4420e-02,6.1877e-02,3.9946e-02,8.9100e-02,2.0602e-02
2,1,8,256,49,3.5424e+01,19.000000,7.4420e-02,6.1877e-02,4.6753e-02,8.9030e-02,2.0633e-02
2,1,8,512,49,5.8110e+01,21.945205,7.4420e-02,6.1877e-02,5.5739e-02,8.8995e-02,2.0673e-02
2,1,8,1024,49,8.9663e+01,24.422287,7.4420e-02,6.1877e-02,6.5588e-02,8.8977e-02,2.0703e-02
2,1,8,2048,49,1.2643e+02,26.978017,7.4420e-02,6.1877e-02,7.4898e-02,8.8969e-02,2.0723e-02
2,1,8,4096,49,1.6149e+02,29.236630,7.4420e-02,6.1877e-02,8.2784e-02,8.8964e-02,2.0735e-02
2,1,8,8192,49,1.8991e+02,30.005738,7.4420e-02,6.1877e-02,8.8814e-02,8.8962e-02,2.0741e-02
2,2,2,2,4,1.1156e+00,4.000000,2.4571e-02,3.6871e-02,1.5679e-01,3.6755e-02,1.5679e-01
2,2,2,4,4,1.3374e+00,5.000000,1.4384e-02,1.3950e-02,7.6188e-02,1.9659e-02,6.1044e-02
2,2,2,8,4,1.7417e+00,6.000000,1.1978e-02,1.0132e-02,3.4643e-02,1.5329e-02,2.7329e-02
2,2,2,16,4,2.4356e+00,6.000000,1.1978e-02,1.0132e-02,1.7615e-02,1.4660e-02,1.3294e-02
2,2,2,32,4,3.4962e+00,7.000000,1.1978e-02,1.0132e-02,9.6393e-03,1.4459e-02,7.1217e-03
2,2,2,64,4,4.9022e+00,8.000000,1.1978e-02,1.0132e-02,6.3457e-03,1.4387e-02,4.5750e-03
2,2,2,128,4,6.4373e+00,8.000000,1.1978e-02,1.0132e-02,5.4154e-03,1.4358e-02,3.6963e-03
2,2,2,256,4,7.9085e+00,8.000000,1.1978e-02,1.0132e-02,5.4051e-03,1.4346e-02,3.4443e-03
2,2,2,512,4,9.2012e+00,8.000000,1.1978e-02,1.0132e-02,5.8173e-03,1.4340e-02,3.3790e-03
